id, x, y 
7529, 0.905, 0.974 
6533, 0.750, 2.072 
9058, 0.841, 0.661 
6530, 0.750, 2.072 
5664, -3.167, -0.566 
5079, 2.549, -1.773 
6142, 0.392, 0.283 
6141, 1.719, -1.698 
6147, 0.393, 0.283 
6145, -2.944, -0.875 
6144, 1.717, -1.691 
6148, 1.310, 1.707 
6785, 0.833, 0.330 
6784, 0.654, 0.381 
6787, 0.410, 0.480 
6786, -0.344, 0.504 
5847, 0.232, -0.823 
5845, 1.611, -2.243 
5844, -3.280, -0.454 
5841, 1.147, 0.701 
5849, 1.525, 2.170 
7713, 2.853, 3.241 
5499, -1.031, 0.142 
5721, -3.244, -0.558 
5203, 0.953, -0.781 
5542, 0.070, 0.708 
9048, 0.610, 0.485 
7493, 2.219, -2.099 
9249, -2.748, -0.811 
9537, 3.020, 3.272 
9240, -0.353, -0.345 
9765, 1.186, -0.072 
9532, 0.666, 0.408 
7852, 0.755, -0.929 
9043, 1.090, 0.629 
7850, -2.717, -0.495 
7851, 0.397, -0.830 
7857, 1.177, -1.412 
9042, 0.041, 0.054 
7859, 1.927, -0.709 
4828, -3.443, 0.101 
4829, -3.848, 0.360 
4827, -3.848, 0.360 
5494, -1.053, -0.007 
7980, 0.381, 0.313 
7982, 0.513, 0.369 
7984, 1.098, 0.623 
6362, -0.339, 1.062 
9560, -0.436, -1.600 
7040, 0.273, -1.216 
9335, -2.620, -0.967 
9337, -2.329, -0.883 
9336, -2.332, -0.880 
9339, -1.488, 0.348 
9338, -2.518, -1.009 
9629, 2.252, 0.080 
9622, 0.759, -0.158 
9624, 1.164, -1.727 
7218, 2.814, 3.349 
7219, 0.779, -0.620 
7210, 2.815, 3.340 
7211, 0.979, -1.537 
7213, 0.857, -1.219 
7214, 1.119, 0.605 
7215, -1.153, -1.904 
7216, -3.170, 0.014 
7217, -3.045, 0.063 
6217, 0.599, 0.270 
6216, -2.944, -0.875 
6215, 1.345, 0.559 
6213, 0.725, -0.580 
6212, 0.749, -0.457 
6211, 1.135, 0.578 
6210, -5.888, 1.448 
6219, 0.677, 0.334 
6811, 1.149, 0.593 
6810, 1.171, 0.537 
6813, 1.153, 0.586 
6812, 1.154, 0.584 
6814, 0.404, 0.226 
6816, 1.153, 0.584 
