id, x, y8339, 2.496, 2.271 
5989, 2.350, 2.425 
5982, 1.667, -0.972 
5983, 4.504, -1.954 
5980, 4.745, -2.059 
5986, 1.683, -0.943 
5984, 4.507, -1.955 
7517, 6.945, -6.119 
7516, 5.908, -4.746 
7515, 5.523, -4.342 
7514, 5.467, -4.273 
7513, 6.826, -5.947 
7512, 7.486, -6.873 
7511, -4.479, -0.436 
7510, -4.479, -0.436 
7519, 6.378, -5.437 
7518, 6.458, -5.533 
6357, 3.425, 4.928 
6150, 4.833, -3.559 
6151, 1.263, 0.955 
6158, 1.625, -0.739 
6159, 2.196, -1.235 
6797, 2.641, 3.500 
6795, 0.295, 1.602 
6792, 0.944, -0.741 
6793, 0.944, -0.741 
8307, 2.525, 1.924 
6791, 0.944, -0.741 
6721, -3.228, -0.779 
5854, -0.045, -0.275 
5855, 3.278, -1.840 
5856, 3.268, -1.836 
5857, 3.268, -1.836 
5850, -0.272, -1.861 
5851, -0.272, -1.861 
5852, 3.274, -1.839 
5853, 3.274, -1.839 
5858, 3.266, -1.836 
5859, 3.268, -1.836 
6726, -6.240, -0.823 
6725, -4.567, -1.240 
6358, -0.272, -1.860 
6359, 0.607, 3.205 
5488, -5.724, -0.633 
6194, 0.555, 1.650 
7889, 1.344, -0.795 
8755, -4.663, 0.739 
7881, 0.971, 0.457 
7880, 0.201, 1.826 
7883, 0.971, 0.457 
7882, 0.971, 0.457 
8204, 2.304, 1.945 
8304, 1.581, -0.677 
5821, 1.550, -0.999 
6588, 0.933, 0.902 
9528, 1.425, 1.245 
7995, 2.324, 1.551 
9258, -3.356, -0.323 
9259, -4.312, -0.394 
9524, 1.501, 1.279 
9525, 1.520, 1.222 
9526, 1.425, 1.245 
9527, 1.501, 1.279 
9252, -4.513, -0.514 
9521, 3.665, 2.368 
9250, -4.758, -0.718 
9251, -4.743, -0.717 
8200, 2.801, 1.651 
7861, 1.549, -0.688 
7860, 3.606, 1.887 
8753, -4.663, 0.739 
9434, 3.032, 2.103 
7869, 2.585, 1.130 
8092, 1.002, 2.077 
6198, 1.148, 2.863 
6199, 1.384, 0.615 
9411, 2.812, -1.304 
9412, 2.812, -1.304 
6371, 4.834, -3.560 
6372, 4.833, -3.559 
6373, 2.375, -1.138 
9340, -2.731, 0.657 
9342, -2.654, 0.700 
9638, 1.691, 0.485 
9639, 1.462, 0.334 
9635, 3.024, 1.535 
8941, -0.486, -0.727 
8940, -0.866, -0.785 
8942, -1.618, 0.645 
8945, -4.135, -0.218 
8944, -4.869, 1.132 
8947, -4.280, 0.023 
8946, -4.199, -0.083 
8948, -4.390, -0.323 
9347, 2.497, 2.432 
7261, 2.365, -1.653 
7260, 3.445, 0.322 
7263, 2.534, 1.518 
7262, 2.536, 1.285 
6204, 1.558, -0.686 
6205, 1.480, -0.840 
6206, 1.515, -0.876 
6207, 1.421, -0.758 
6200, 1.427, 0.576 
6201, 1.009, 1.883 
6203, 0.774, 1.582 
6208, 3.088, -0.208 
6209, -4.416, -0.430 
5407, 0.578, 2.511 
6808, 0.944, -0.741 
6809, 3.665, 2.368 
6806, 1.587, -0.674 
6807, 1.589, -0.673 
6804, 1.582, -0.677 
6805, 1.586, -0.675 
7148, 2.061, -0.469 
9619, 0.160, 2.341 
5182, -5.708, -0.633 
5183, 3.562, 1.491 
5181, 0.427, 2.374 
5186, 3.307, 1.779 
5187, 2.728, 1.953 
5185, 3.144, 1.902 
5188, 3.749, 1.139 
5189, 2.980, 1.855 
6485, 4.328, -1.880 
8837, -4.034, -0.377 
8830, 1.576, -0.679 
9598, 1.393, 0.629 
8975, -4.768, 0.703 
7678, 0.775, 0.922 
7679, 0.580, 1.301 
7676, 1.041, 1.537 
7677, 1.207, 0.541 
7674, 0.375, 1.473 
7672, 1.061, 0.573 
7673, 0.646, 0.972 
5458, -5.525, -0.593 
5459, 8.788, -8.566 
7078, 2.273, -1.082 
5450, 3.484, 0.377 
5451, 3.492, 2.252 
7076, 1.930, 0.137 
5453, -5.525, -0.593 
5454, 3.665, 1.439 
5455, 3.742, 1.576 
5456, 3.733, 1.580 
5457, -5.356, -0.533 
6976, 0.853, 2.395 
8162, 2.286, 2.121 
6974, 0.292, 1.444 
8160, 2.913, 2.279 
6972, 3.544, 0.551 
8165, 2.419, 2.362 
8164, 2.671, 2.453 
8169, 1.638, -0.565 
6978, 0.853, 2.395 
6979, 1.039, 2.205 
5533, -0.256, -0.791 
5532, -0.043, -0.676 
5531, -0.114, -0.597 
5530, -0.187, -0.613 
5537, 1.052, -0.865 
5536, 1.055, -0.863 
