date,beta,book_to_price,earnings_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size
2016-01-04,-0.00517718181883,0.00247390763439,0.0015088891927,0.0023772575626,0.00354131828001,-0.00565174662946,-0.00339496013201,0.000855505659314,-0.00398721000566,0.00260219395251
2016-01-05,-0.00227113288959,0.00117649956404,0.000395815961387,0.000722219941713,0.0024681722856,-0.00282103704169,-0.00163563584065,-3.14767065326e-05,-0.00437229214793,0.000369448134309
2016-01-06,-0.01134221921,0.0140437671226,0.00763192344822,0.00163225158472,0.0117135845864,-0.00999899624537,-0.0179645286523,-0.000294335296085,-0.0198643793632,0.00249475349809
2016-01-07,0.000716960231447,0.00213057433063,-0.00633743201255,-0.00467490202574,0.00387285374471,0.00165563533384,-0.00114659090186,0.00143132013053,0.0043319273977,0.000247698076054
2016-01-08,-0.00152656443603,0.00339835676693,0.00251698227184,0.000802730354627,0.00215838766238,-0.00247010293076,-0.00288034714392,-0.000139640276861,-0.0038106330993,0.00173162085565
2016-01-11,-0.0038798697793,0.0152151888418,0.00693910343533,0.00100437187063,0.012244041182,-0.00765095464344,-0.0161852574016,-0.000602377984558,-0.0133986592551,0.00392509781503
2016-01-12,-0.0112610239923,0.00799983434395,0.00170809392365,0.00230039278146,0.00799616458957,-0.00564739748682,-0.00678615860987,0.00389526009564,-0.00886796822639,0.00508727553108
2016-01-13,0.00227312610395,0.000136046717432,0.00695652632293,0.00275149032644,-0.00235731341515,-0.00299448293371,-0.000876345719932,0.00197889670905,-0.0109445656518,0.00486585361745
2016-01-14,-0.00907567272211,0.00882602459513,0.00810462315492,0.00387212991573,0.00352052068601,-0.00988369775237,-0.00795918634039,0.00224403911306,-0.01669918042,0.00382035225791
2016-01-15,0.0104780585801,-0.0139522785963,-0.00862023938748,-0.00388869263419,-0.0117555069013,0.00604279743051,0.0114854737518,0.00123101075079,0.0113565174622,-0.00167982213573
2016-01-18,-0.0058140934012,-0.00987970711384,-0.002709037812,0.000347193606499,-0.00717801454727,0.00294323067789,0.00685365492657,0.00113605327161,0.00331752951322,0.000896112818339
2016-01-19,0.00854464567539,-0.0141925739223,-0.00956962411451,-0.00283472649961,-0.0105617436061,0.00961760488484,0.0131965673411,0.0007910734775,0.0125725275227,-0.00244589090311
2016-01-20,0.00455268682259,-0.0049379674787,-0.0042204490444,-0.000898483745623,-0.000864366857755,0.00473036045837,0.0054820694774,-3.31317547862e-07,0.0102600160178,-0.00171908881797
2016-01-21,-0.000742903000468,-0.00343999874606,-0.00171935175558,-0.000787027529519,-0.00039481291008,0.00355755649585,0.00208103054234,0.000507526701015,0.00468477665329,-0.00130042408623
2016-01-22,-0.00503492536239,0.00632011235652,0.0076044802205,-0.000303878095751,-0.000177298474063,-0.00534458321412,-0.00842982387003,-0.000488525538416,-0.0137354286941,0.00179093083806
2016-01-25,0.00559528677538,-0.00224516013286,-0.00482659057832,-0.0033557780248,-0.0013831386262,0.00483506885447,-0.000303971455634,0.000589696715426,0.00622338674051,-0.000643352727782
2016-01-26,0.00199907036244,-0.000479939450486,-0.00339197391983,-0.000654014977743,0.00231180215162,-0.000607630806519,0.000605936806771,-0.00101594287106,0.00426216810481,-0.00174203352345
2016-01-27,-0.00827708145654,-0.00045020176571,-0.00128871523752,0.00189301837392,0.00192858185915,-0.000446162346697,-0.000247690371459,-0.000240149327936,-0.00172311454347,0.000896004575856
2016-01-28,0.00313102413931,-0.00437466498457,-0.00419888270387,-0.00158382830644,-0.000880113207773,0.00418785542284,-0.00527484705502,0.00146836195829,-0.000866736793883,0.0025235516244
2016-01-29,-0.0106221967359,0.00514982829576,0.0067393215952,0.00666956973682,0.00226335336182,-0.00855445159107,-0.0075061683146,0.001285828506,-0.0159838160715,0.00354619030786
2016-02-01,0.00891839343796,-0.00480205349139,-0.000768675078938,0.00124338707517,-0.00661229504431,0.00279466052085,0.00512326117356,0.0015090826122,0.00496582955808,0.000882991346644
2016-02-02,0.00146713342235,-0.00304961287953,0.00532870719127,0.00351218351571,-0.00371365481693,-0.000783621510628,0.00203904344011,0.00016934671653,-0.00736891928914,-0.000166273855624
2016-02-03,0.00599433848802,-0.00914962811788,-0.00625366734762,-0.000282071545021,-0.00622466275949,0.00596305918162,0.00686340770855,0.00127283795082,0.0113528810424,-0.000969250183008
2016-02-04,0.00395198266341,-0.00437424581915,-0.00342351301083,0.00124215390128,-0.00144099022923,0.00242188046573,0.00585032313882,-0.000107541865288,0.00359130841251,-0.000178417166604
2016-02-05,0.00474483229476,-0.00428762122081,-0.00413003452445,-0.00142180739551,-0.00193958450377,0.00195982541754,0.00243579292498,1.01275168626e-05,0.0073043094123,-0.00065338929975
2016-02-15,-0.004704464584,0.000218111356052,7.0317890901e-05,-0.000138077700959,0.00129277813218,-0.00426230902928,0.000354064107567,0.000188703821562,-0.00290836954351,0.000403290842495
2016-02-16,0.00223211606945,-0.00830217234915,-0.0076625459324,-0.00157072762894,-0.00153379024217,0.00392518635955,0.00295433432462,0.000532275888033,0.00713364831691,0.000692264504894
2016-02-17,0.00562331625627,-0.00561338191274,-0.0039777167128,-0.00154968814006,-0.00185414978165,0.00568208505983,0.0021814414604,0.00256218936862,0.00985606761339,0.00103649754109
2016-02-18,0.00202241970705,-0.00272141777523,-0.00418183603293,-0.00193072791072,0.00195859936847,0.00590042756855,0.00299006449173,0.00194913541375,0.00889694720001,0.00335088226999
